# galaxies in flares with stellar mass > 10^8 Msol and dust-attenuated far-UV luminosity log10(Lfuv/erg s^-1 Hz^-1) > 28 
# redshift log10(xiion_16p/erg^-1Hz) log10(xiion_50p/erg^-1Hz) log10(xiion_84p/erg^-1Hz) log10(M_*/Msol) N_galaxies
7.000000000000000000e+00 2.509154606165042622e+01 2.516170666536972433e+01 2.516576586128928383e+01 1.050000000000000000e+01 1.900000000000000000e+01
7.000000000000000000e+00 2.504530055706025848e+01 2.509998365383359342e+01 2.514981209400623996e+01 1.075000000000000000e+01 4.000000000000000000e+00
6.000000000000000000e+00 2.538484102905800555e+01 2.549886919893628345e+01 2.555836045608230123e+01 8.000000000000000000e+00 7.760000000000000000e+02
6.000000000000000000e+00 2.527838793758102653e+01 2.541647703817498183e+01 2.551296365345656625e+01 8.250000000000000000e+00 2.592000000000000000e+03
6.000000000000000000e+00 2.520984826459324779e+01 2.535284152239744415e+01 2.545250366507350037e+01 8.500000000000000000e+00 2.893000000000000000e+03
6.000000000000000000e+00 2.515171814145968554e+01 2.532945679445831288e+01 2.542571446410444125e+01 8.750000000000000000e+00 1.878000000000000000e+03
6.000000000000000000e+00 2.520723745982949282e+01 2.533240171896549953e+01 2.540709168843335775e+01 9.000000000000000000e+00 9.230000000000000000e+02
6.000000000000000000e+00 2.523341623276790457e+01 2.531807704017199967e+01 2.541071911122280014e+01 9.250000000000000000e+00 5.280000000000000000e+02
6.000000000000000000e+00 2.518603364401669964e+01 2.525981059001867735e+01 2.530375270003197130e+01 9.500000000000000000e+00 4.690000000000000000e+02
6.000000000000000000e+00 2.512439885168812381e+01 2.520682163702365841e+01 2.526182733723786100e+01 9.750000000000000000e+00 3.610000000000000000e+02
6.000000000000000000e+00 2.511048603224782028e+01 2.516994200346113431e+01 2.521632116257545775e+01 1.000000000000000000e+01 2.780000000000000000e+02
6.000000000000000000e+00 2.505950454743165778e+01 2.514697242688347956e+01 2.521678214001696361e+01 1.025000000000000000e+01 1.290000000000000000e+02
6.000000000000000000e+00 2.505894860571097382e+01 2.510152027755682624e+01 2.514953117832281748e+01 1.050000000000000000e+01 6.200000000000000000e+01
6.000000000000000000e+00 2.513546482135216920e+01 2.518213781346572944e+01 2.519624630782163166e+01 1.075000000000000000e+01 2.800000000000000000e+01
6.000000000000000000e+00 2.502292849124153662e+01 2.502883036294068120e+01 2.518087349793869834e+01 1.100000000000000000e+01 3.000000000000000000e+00
5.000000000000000000e+00 2.539619261266220818e+01 2.550588326780827231e+01 2.558086999141116635e+01 8.000000000000000000e+00 6.050000000000000000e+02
5.000000000000000000e+00 2.526857552559582487e+01 2.543546258043824437e+01 2.553697915850219147e+01 8.250000000000000000e+00 2.678000000000000000e+03
5.000000000000000000e+00 2.519988895003791285e+01 2.535626554258347909e+01 2.547430788007607916e+01 8.500000000000000000e+00 4.303000000000000000e+03
5.000000000000000000e+00 2.518302394722910265e+01 2.533331950451218972e+01 2.543589033603475968e+01 8.750000000000000000e+00 3.663000000000000000e+03
5.000000000000000000e+00 2.520847813564355988e+01 2.533811822929353852e+01 2.542528657339967069e+01 9.000000000000000000e+00 2.315000000000000000e+03
5.000000000000000000e+00 2.521334397601940580e+01 2.530350099689024645e+01 2.539089761305142190e+01 9.250000000000000000e+00 1.098000000000000000e+03
5.000000000000000000e+00 2.519431435585487478e+01 2.526818379785676427e+01 2.533928195855262189e+01 9.500000000000000000e+00 7.510000000000000000e+02
5.000000000000000000e+00 2.514908866189230352e+01 2.521200889412370216e+01 2.526772169857033745e+01 9.750000000000000000e+00 7.420000000000000000e+02
5.000000000000000000e+00 2.507950954956519851e+01 2.517594906676397670e+01 2.523518872781059841e+01 1.000000000000000000e+01 6.420000000000000000e+02
5.000000000000000000e+00 2.507762714708256269e+01 2.512920076305683992e+01 2.519511977829273164e+01 1.025000000000000000e+01 3.970000000000000000e+02
5.000000000000000000e+00 2.509009026168976675e+01 2.513992600454310633e+01 2.517228151855081819e+01 1.050000000000000000e+01 1.870000000000000000e+02
5.000000000000000000e+00 2.508266395621171085e+01 2.511750526322492760e+01 2.517669252209772068e+01 1.075000000000000000e+01 9.100000000000000000e+01
5.000000000000000000e+00 2.502799826880655942e+01 2.503422547101006401e+01 2.504982941919463713e+01 1.100000000000000000e+01 2.300000000000000000e+01
5.000000000000000000e+00 2.504899415314289968e+01 2.516165123720589136e+01 2.522511451957615236e+01 1.125000000000000000e+01 3.000000000000000000e+00
